               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  24,            0.038917,            0.046406,           0.0047867,             0.72258,             0.61495,             0.65372,             0.30442,            0.053087,            0.038991,           0.0075979,            0.000892,            0.000892,            0.000892
                   0,             0.10728,            0.071137,            0.025487,                   0,                   0,                   0,                   0,                   0,            0.025315,                   0,            0.070588,            0.003268,            0.003268
                   1,            0.081223,            0.074366,            0.015882,                   0,                   0,                   0,                   0,                   0,            0.034605,                   0,            0.040327,           0.0063399,           0.0063399
                   2,            0.074207,            0.068108,            0.012065,                   0,                   0,                   0,                   0,                   0,            0.037172,                   0,           0.0098014,           0.0091478,           0.0091478
                   0,             0.10727,            0.071132,            0.025487,            0.089561,            0.088924,            0.049299,            0.014382,            0.092797,            0.053193,            0.017607,            0.070588,            0.003268,            0.003268
                   1,            0.081611,            0.074348,             0.01592,             0.27225,             0.29267,              0.1958,            0.058092,            0.079094,            0.049404,            0.012297,            0.040327,           0.0063399,           0.0063399
                   2,            0.074245,            0.068079,            0.012077,             0.24197,             0.29304,             0.20025,            0.073499,            0.078485,            0.049507,            0.010673,           0.0098014,           0.0091478,           0.0091478
                   3,            0.066358,             0.06401,           0.0096878,             0.30704,             0.39975,             0.27962,             0.09827,            0.070406,            0.043999,            0.010209,            0.008812,            0.008812,            0.008812
                   4,            0.060323,            0.063759,           0.0088101,             0.49064,             0.43141,             0.40491,             0.16131,             0.06218,            0.041928,           0.0097751,            0.008812,            0.008812,            0.008812
                   5,            0.055973,            0.064685,           0.0081625,             0.46381,             0.43756,             0.38024,             0.12688,            0.064389,            0.043546,           0.0094217,            0.008416,            0.008416,            0.008416
                   6,            0.054235,            0.062494,           0.0075782,             0.60635,             0.50237,              0.5137,             0.18916,            0.060671,            0.040866,           0.0093555,             0.00802,             0.00802,             0.00802
                   7,            0.051505,            0.057516,           0.0072988,             0.54944,             0.47432,             0.47381,             0.19134,            0.058467,            0.043594,           0.0093508,            0.007624,            0.007624,            0.007624
                   8,            0.050562,            0.056881,           0.0071936,             0.63155,             0.49995,             0.52369,             0.20939,            0.056835,            0.041467,           0.0084055,            0.007228,            0.007228,            0.007228
                   9,            0.049766,            0.059992,            0.007015,             0.66475,             0.52627,              0.5586,             0.22049,            0.057635,            0.041024,           0.0083477,            0.006832,            0.006832,            0.006832
